team,team_name,year,week,weekly_attendance
Arizona,Cardinals,2000,1,77434
Arizona,Cardinals,2000,2,66009
Arizona,Cardinals,2000,3,NA
Arizona,Cardinals,2000,4,71801
Arizona,Cardinals,2000,5,66985
Arizona,Cardinals,2000,6,44296
Arizona,Cardinals,2000,7,38293
Arizona,Cardinals,2000,8,62981
Arizona,Cardinals,2000,9,35286
Arizona,Cardinals,2000,10,52244
Arizona,Cardinals,2000,11,64223
Arizona,Cardinals,2000,12,65356
Arizona,Cardinals,2000,13,42094
Arizona,Cardinals,2000,14,50289
Arizona,Cardinals,2000,15,53472
Arizona,Cardinals,2000,16,37452
Arizona,Cardinals,2000,17,65711
Atlanta,Falcons,2000,1,54626
Atlanta,Falcons,2000,2,75466
Atlanta,Falcons,2000,3,73025
Atlanta,Falcons,2000,4,58761
Atlanta,Falcons,2000,5,65424
Atlanta,Falcons,2000,6,50947
Atlanta,Falcons,2000,7,66019
Atlanta,Falcons,2000,8,56508
Atlanta,Falcons,2000,9,46178
Atlanta,Falcons,2000,10,70097
Atlanta,Falcons,2000,11,74309
Atlanta,Falcons,2000,12,67447
Atlanta,Falcons,2000,13,55175
Atlanta,Falcons,2000,14,44680
Atlanta,Falcons,2000,15,NA
Atlanta,Falcons,2000,16,64900
Atlanta,Falcons,2000,17,41017
Baltimore,Ravens,2000,1,55049
Baltimore,Ravens,2000,2,68843
Baltimore,Ravens,2000,3,73464
Baltimore,Ravens,2000,4,68481
Baltimore,Ravens,2000,5,73018
Baltimore,Ravens,2000,6,65194
Baltimore,Ravens,2000,7,83252
Baltimore,Ravens,2000,8,69200
Baltimore,Ravens,2000,9,69405
Baltimore,Ravens,2000,10,54759
Baltimore,Ravens,2000,11,68490
Baltimore,Ravens,2000,12,69416
Baltimore,Ravens,2000,13,68361
Baltimore,Ravens,2000,14,NA
Baltimore,Ravens,2000,15,68805
Baltimore,Ravens,2000,16,37452
Baltimore,Ravens,2000,17,69184
Buffalo,Bills,2000,1,72492
Buffalo,Bills,2000,2,77722
Buffalo,Bills,2000,3,77884
Buffalo,Bills,2000,4,NA
Buffalo,Bills,2000,5,72617
Buffalo,Bills,2000,6,73901
Buffalo,Bills,2000,7,72351
Buffalo,Bills,2000,8,64116
Buffalo,Bills,2000,9,72861
Buffalo,Bills,2000,10,60292
Buffalo,Bills,2000,11,72420
Buffalo,Bills,2000,12,78457
Buffalo,Bills,2000,13,65546
Buffalo,Bills,2000,14,73002
Buffalo,Bills,2000,15,56671
Buffalo,Bills,2000,16,47230
Buffalo,Bills,2000,17,61025
Carolina,Panthers,2000,1,80257
Carolina,Panthers,2000,2,66879
Carolina,Panthers,2000,3,73025
Carolina,Panthers,2000,4,NA
Carolina,Panthers,2000,5,73310
Carolina,Panthers,2000,6,72192
Carolina,Panthers,2000,7,50015
Carolina,Panthers,2000,8,73169
Carolina,Panthers,2000,9,46178
Carolina,Panthers,2000,10,66048
Carolina,Panthers,2000,11,72981
Carolina,Panthers,2000,12,64208
