year,week,home_team,away_team,winner
2000,1,Minnesota Vikings,Chicago Bears,Vikings
2000,1,Kansas City Chiefs,Indianapolis Colts,Colts
2000,1,Washington Redskins,Carolina Panthers,Redskins
2000,1,Atlanta Falcons,San Francisco 49ers,Falcons
2000,1,Pittsburgh Steelers,Baltimore Ravens,Ravens
2000,1,Cleveland Browns,Jacksonville Jaguars,Jaguars
2000,1,New England Patriots,Tampa Bay Buccaneers,Bucaneers
2000,1,New Orleans Saints,Detroit Lions,Lions
2000,1,New York Giants,Arizona Cardinals,Giants
2000,1,Dallas Cowboys,Philadelphia Eagles,Eagles
2000,1,Oakland Raiders,San Diego Chargers,Raiders
2000,1,Miami Dolphins,Seattle Seahawks,Dolphins
2000,1,Green Bay Packers,New York Jets,Jets
2000,1,Buffalo Bills,Tennessee Titans,Bills
2000,1,St. Louis Rams,Denver Broncos,Rams
2000,2,Minnesota Vikings,Miami Dolphins,Vikings
2000,2,Cincinnati Bengals,Cleveland Browns,Browns
2000,2,Indianapolis Colts,Oakland Raiders,Raiders
2000,2,Tampa Bay Buccaneers,Chicago Bears,Bucaneers
2000,2,Buffalo Bills,Green Bay Packers,Bills
2000,2,Baltimore Ravens,Jacksonville Jaguars,Ravens
2000,2,Philadelphia Eagles,New York Giants,Giants
2000,2,Tennessee Titans,Kansas City Chiefs,Titans
2000,2,San Diego Chargers,New Orleans Saints,Saints
2000,2,San Francisco 49ers,Carolina Panthers,Panthers
2000,2,Seattle Seahawks,St. Louis Rams,Rams
2000,2,Detroit Lions,Washington Redskins,Lions
2000,2,Denver Broncos,Atlanta Falcons,Broncos
2000,2,Arizona Cardinals,Dallas Cowboys,Cardinals
2000,2,New York Jets,New England Patriots,Jets
2000,3,Jacksonville Jaguars,Cincinnati Bengals,Jaguars
2000,3,Cleveland Browns,Pittsburgh Steelers,Browns
2000,3,Green Bay Packers,Philadelphia Eagles,Packers
2000,3,Carolina Panthers,Atlanta Falcons,Falcons
2000,3,St. Louis Rams,San Francisco 49ers,Rams
2000,3,New York Jets,Buffalo Bills,Jets
2000,3,Detroit Lions,Tampa Bay Buccaneers,Bucaneers
2000,3,Chicago Bears,New York Giants,Giants
2000,3,Oakland Raiders,Denver Broncos,Broncos
2000,3,Kansas City Chiefs,San Diego Chargers,Chiefs
2000,3,Seattle Seahawks,New Orleans Saints,Seahawks
2000,3,New England Patriots,Minnesota Vikings,Vikings
2000,3,Miami Dolphins,Baltimore Ravens,Dolphins
2000,3,Washington Redskins,Dallas Cowboys,Cowboys
2000,4,Pittsburgh Steelers,Tennessee Titans,Titans
2000,4,Baltimore Ravens,Cincinnati Bengals,Ravens
2000,4,Chicago Bears,Detroit Lions,Lions
2000,4,New Orleans Saints,Philadelphia Eagles,Eagles
2000,4,Atlanta Falcons,St. Louis Rams,Rams
2000,4,Miami Dolphins,New England Patriots,Dolphins
2000,4,Dallas Cowboys,San Francisco 49ers,49ers
2000,4,Arizona Cardinals,Green Bay Packers,Packers
2000,4,Tampa Bay Buccaneers,New York Jets,Jets
2000,4,San Diego Chargers,Seattle Seahawks,Seahawks
2000,4,Denver Broncos,Kansas City Chiefs,Chiefs
2000,4,Oakland Raiders,Cleveland Browns,Raiders
2000,4,New York Giants,Washington Redskins,Redskins
2000,4,Indianapolis Colts,Jacksonville Jaguars,Colts
2000,5,Buffalo Bills,Indianapolis Colts,Colts
2000,5,Detroit Lions,Minnesota Vikings,Vikings
2000,5,Carolina Panthers,Dallas Cowboys,Cowboys
2000,5,St. Louis Rams,San Diego Chargers,Rams
2000,5,Tennessee Titans,New York Giants,Titans
2000,5,Cleveland Browns,Baltimore Ravens,Ravens
2000,5,Jacksonville Jaguars,Pittsburgh Steelers,Steelers
2000,5,Cincinnati Bengals,Miami Dolphins,Dolphins
2000,5,Denver Broncos,New England Patriots,Patriots
2000,5,San Francisco 49ers,Arizona Cardinals,49ers
2000,5,Green Bay Packers,Chicago Bears,Bears
2000,5,Washington Redskins,Tampa Bay Buccaneers,Redskins
2000,5,Philadelphia Eagles,Atlanta Falcons,Eagles
2000,5,Kansas City Chiefs,Seattle Seahawks,Chiefs
2000,6,Cincinnati Bengals,Tennessee Titans,Titans
2000,6,New York Jets,Pittsburgh Steelers,Steelers
2000,6,Detroit Lions,Green Bay Packers,Lions
2000,6,New England Patriots,Indianapolis Colts,Patriots
2000,6,Miami Dolphins,Buffalo Bills,Dolphins
2000,6,Philadelphia Eagles,Washington Redskins,Redskins
